File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 68740 (30.22%), 0 (0.00%), 1254 (0.55%), 179 (0.08%), 0 (0.00%), 0 (0.00%), 96588 (42.47%), 130847 (57.53%), 227435
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
mlp_moelayer,test1,0.001000,0.001000,0.001000,40.951000,0.000000,41.011000,40.951000,190.776779,143.082581,0.000000,-nan,0.000000,41.011000,190.497665,142.873245,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,41.011000,0.000000,40.951000,41.011000,190.497665,142.873245,0.000000,-nan,0.000000,40.951000,190.776779,143.082581,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,11.158000,0.000000,11.158000,11.158000,175.042572,131.281921,0.000000,-nan,0.000000,11.158000,175.042572,131.281921,227435.372000
final_column,test1,910.000000,910.000000,910.000000,25.255000,0.000000,0.000000,25.255000,154.672348,116.004257,0.000000,-nan,0.000000,0.000000,-nan,-nan,227435.372000
cross_entropy1,test1,0.000000,0.000000,0.000000,18.775000,0.000000,0.000000,18.775000,0.203180,0.304769,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
cross_entropy2,test1,0.000000,0.000000,0.000000,18.775000,0.000000,0.000000,18.775000,0.203180,0.304769,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
cross_entropy3,test1,0.000000,0.000000,0.000000,18.775000,0.000000,0.000000,18.775000,0.203180,0.304769,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
optimizer1,test1,0.000000,0.000000,0.000000,18.775000,0.000000,0.000000,18.775000,0.203180,0.304769,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
optimizer2,test1,0.000000,0.000000,0.000000,18.775000,0.000000,0.000000,18.775000,0.203180,0.304769,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
optimizer3,test1,0.000000,0.000000,0.000000,18.775000,0.000000,0.000000,18.775000,0.203180,0.304769,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
optimizer4,test1,0.000000,0.000000,0.000000,18.775000,0.000000,0.000000,18.775000,0.203180,0.304769,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
SUM,test1,18901.022000,25564.026000,52123.022000,864.223000,68740.426000,568.527000,864.223000,NONE,NONE,400054.501000,NONE,NONE,568.527000,NONE,NONE
total exposed comm,130847.302000,total comp,96588.070000,total time,227435.372000
